"company","projectcount"
"Hortonworks",17
"Cloudera",10
"IBM",8
"Confluent",8
"Red Hat",5
"Intel",5
"Yahoo",5
"SK Telecom",4
"Ampool, Inc.",4
"Facebook",3
"InMobi",3
"Apple",3
"Salesforce",3
"NTent",3
"Talend",3
"NASA",3
"Tirasa",3
"Beijing Hadoou",2
"Twitter",2
"Avvo",2
"Trend Micro",2
"Gruter",2
"LinkedIn",2
"Fitbit",2
"Capgemini Poland (Software Solutions Center)",2
"Ministere de la Defense",2
"NTT",2
"Schubergphilis",2
"Accenture",2
"Google",2
"Cloudsoft",2
"Skyscanner",2
"Docker",1
"Citrix",1
"Levi9",1
"Qentinel",1
"Amazon",1
"yuantiku.com",1
"TU-Berlin",1
"Unknown 3",1
"Netflix",1
"KTH",1
"Lezhin Entertainmnet",1
"UPV",1
"Canonical Ltd.",1
"Dimension Data",1
"Haywood Associates",1
"QuickMobile",1
"Meituan",1
"CloudOps",1
"Google Summer of Code",1
"DataStax",1
"Data Artisans",1
"JDriven",1
"Databricks",1
"Swisscom",1
"Japila Software",1
"Unico",1
"Quenda",1
"Sixsq",1
"Pivotal",1
"unipro",1
"Freelancer",1
"Tencent",1
"Brocade",1
"Unknown 1",1
"eBay",1
"Data Torrent",1
"Bounce Storage",1
"Shapeblue",1
"Unknown 5",1
"Streamsets",1
"Energized Work",1
"GridGain",1
"Unknown 2",1
"Polytechnic University Of Tirana",1
"Uber",1
"Simple Finance",1
"Pandora",1
"Abiquo",1
"Angeles University Foundation",1
"Microsoft",1
"Oracle",1
"Unknown 4",1
"Mobigen 모비젠",1
"Perforce",1
"Radicalbit",1
"Unknown 6",1
"Univ. of Minnesota",1
"Ali Baba",1
"Mesosphere",1
"Elementum",1
"Science+Computing AG",1
